Company, CPU company, CPU model, touchscreen, Link
Dell,None,i5,No,https://www.amazon.in/Dell-15-6-inch-i5-8250U-Windows-Graphics/dp/B079QF4XK5
Lenovo,intel,Celeron,No,https://www.amazon.in/Lenovo-S20-30-59-436662-11-6-inch-graphics/dp/B00PLX0JPW
ACER,None,None,No,https://www.amazon.in/Acer-A315-31-C0A7-15-6-inch-Windows-Obsidian/dp/B0753KFP4M
Intel,intel,i5,No,https://www.amazon.in/Dell-latitude-3480-i5-7200-i5/dp/B07BK2C45P
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-i3-5005U-Integrated/dp/B01GHGLLP8
Intel,intel,i3,No,https://www.amazon.in/Acer-SP513-51-13-3-inch-i3-7100U-Graphics/dp/B071W88SYF
Intel,intel,i3,No,https://www.amazon.in/Acer-NX-GE6SI-038-15-6-inch-Processor-Integrated/dp/B079VGJWLP
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-IdeaPad-15-6-inch-Laptop-i3-7100U/dp/B07KR26C9X
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-15-6-inch-Laptop-Windows/dp/B07CJYWR9T
Lenovo,None,None,No,https://www.amazon.in/Lenovo-Quad-n4200-Screen-Black/dp/B074LVGC4K
Intel,intel,Celeron,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Asus-X540MA-GQ024T-Integrated/dp/B07KXKL7YQ
Intel,intel,i7,No,https://www.amazon.in/Asus-Zephryrus-GM501GM-EI005T-15-6-inch-Processor/dp/B07GCPTN52
Asus,None,i3,No,https://www.amazon.in/Asus-X541UA-GO1345D-15-6-inch-i3-6006U-Integrated/dp/B06XX52WR5
Aspire,None,Celeron,No,https://www.amazon.in/Acer-ES1-132-11-6-inch-Integrated-Graphics/dp/B01N9IH61Y
Aspire,None,Celeron,No,https://www.amazon.in/Acer-ES1-132-11-6-inch-Integrated-Graphics/dp/B01N9IH61Y
Lenovo,None,A6,No,https://www.amazon.in/Lenovo-80XV00LPIN-15-6-inch-Free-Dos-Integrated/dp/B0753TRL5K
Aspire,None,i5,No,https://www.amazon.in/Acer-Aspire-Core-i5-NX-H16SI-003/dp/B07L7N3WC6
